Word,Definition
reprimand,zamečanija
reprisal,repressalija
reproduce,1. tejems ods 2. raštams
reproduction,1. kopija 2. raštamo
reptile,presmïkajuštijsä; gujť-meťkazt
republic,respublika
repulsive,(ugly) nulgoďks
reputation,reputacija
request,enäldoma
request,enäldoms
require,vešems
requirement,vešema (kursoń; zakonoń)
reschedule,odov aravtoms
rescue,idema
rescue,idems (from kostojak)
research,issledovanija; vankšnoma
research,vankšnoms; tonavtnems
resemble,molems kińgak jonov
resent,meľs a tujems
resentful,akirdevicä
resentment,akirdema
reservation,(land) vanstoma moda
reserve,vanstoms
reside,eräms (somewhere kosojak)
residence,erämo tarka
resident,1. ericä 2. rezident
resign,tujems služamsto (from kosto)
resignation,otkazams tarkado
resist,aštems karšo; molems karšo
resistance,karšo molema
resolve,rešams
resort,kurort
resource,taštavkst
resourceful,eŕva tamašasto parste lisicä
respect,koroń kirdema; lomańks putoma
respectable,respektabeľnoj
respectful,vežlivoj; lomańks putïcä
respectively,??meľcek meľcek
respond,1. val pandoms; maksoms karšoval 2. kunsoloms
response,valoń pandoma; karšoval; kunsoloma
responsibility,otvetstvennosť
responsible,1. otvetstvennoj 2. čumo
responsive,karšovaloń maksï; kunsolïcä
rest,ojmsema
rest,ojmsems
restaurant,restoran
restful,ojmavtïcä
restoration,vitnema-petnema
restore,1. putoms mekev (tarkazonzo; činëzënzë) 2. odkstomtoms
restrain,kirdevems
restraint,kirdevema
restrict,a lišnojgavtoms
restriction,a lišnojgavtoma; kardamo
result,savks; satks; rezuľtat
resume,poladoms (lotkavtoź tev)
resurrection,veľmema
retail,(shop) vejte-vejte mijema
retain,kirdevems
retake,odov snimardoms
retaliation,(kežeń) pandoma
retention,kirdevema
retire,lisems pensijav
retirement,pensijav lisema; pensija
retract,sajems mekev (valtnëń)
retrain,tonavtoms odov
retraining,odov tonavtoma
retreat,potamo
retreat,potams (from -sto/-stë)
retribution,nakazamo
retrieval,velävtoma
retrieve,jakams (mezeń-buti kisë)
return,1. (receive) kilangsto velävtoma 2. (send) počtaso mekev velävtoma
return,(send) velävtoms počtaso
reunion,vejsëndämo; purnavoma
reunite,vejsëndäms
reuse,noldams tevs odov
reveal,livtems langs
revealing,langs livticä
revelation,(thought) potmoń panžoma
revenge,kežeń pandoma
reversal,polavtoma; mekevlangt aravtoma
reverse,1. (gear) mekevlangoń 2. (object) lija jonks 3. (situation) polavtovkst
reverse,(back) ??polavtoms; velävtoms; potams
revert,velävtoms mekev
review,(book) maksoms recenzija
revise,tejems odov
revision,odov tejema
revive,1. sams jožos 2. veľmevtems
revolt,kepedevema (ťureme)
revolt,kepedevems (ťureme)
revolution,1. (revolt) revoľucija 2. (turn) revoľucija; velävtoma
reward,kazne
reward,kaznems (apelema teveń kisë)
rewind,zavodäms
rewrite,śormadoms odov
rhinoceros,nosorog; nerśuro
rhythm,ritma
rib,irdeks
ribbon,čova lenta
rice,ris
rich,śupav; kozäv
riddle,sodamojovks
ride,1. (car) ardoma 2. (horse) (laste) ardoma
ride,1. (bicycle) ardoms 2. (horse) ardoms (laste)
ridge,pando kuťmere
ridiculous,rakamoń
rifle,vintovka
right,(direction) viť
right angle,vide užoks
righteous,??pravednoj
rigid,kalgodo; keme
rim,(edge) skoba; kraj
rind,lukš (arbuzoń)
ring,gajnevtema
ring,gajnevtems (bell bajagine)
rinse,jorvaldoms; jovardoms
riot,borocämo kepetema
riot,kepetems borocämo
rip,sezevks
rip,sezems
ripe,kenereź
rise,1. lisems (či) 2. kepetems
risk,risk
risky,opasnoj
ritual,ritual; ila
rival,karšo ašticä
rivalry,konkurencija (karšo aštema)
river,lej
road,ki
roast,1. pijems (sïveľ tolso; kaštomso) 2. pidems (sïveľ tolso; kaštomso)
rob,salams (bank banksto jarmak)
robbery,salamo
robe,(ceremony) kelej räsa
robot,robot
rock,kev
rocket,raketa
rocky,kevev
roll,1. (bread) rulet 2. (paper) tapardavks
roll,keverems
romance,roman
romantic,romantičeskoj
roof,lato; lango; prä
room,1. (house) kudo; nupaľ 2. (space) tarka
room-mate,(ve komnataso) eri jalga
roomy,kelej
rooster,atäkš
root,jur; undovks
rope,piks
rose,roza
rot,naksadoms
rotate,čarams; veläms
rotten,naksado
rough,kazämo
rough,kazäkadoź
round,krugloj; keveŕ
route,kilango
routine,režim
row,(line) räd
row,miledems; panems (venč)
rowboat,??ujemań venč (milesë panevi)
royal,ineazoroń
rub,jozams; jozoldoms
rubber,rezina
rubber band,rezinka
rubbish,(trash) šukš
ruby,rubin
rudder,(venčsë) ruľ
rude,obidicä; kazämo
rug,kumbo; kovor
ruins,jomamo; kuloma; čavovoma
rule,(regulation) pravila
rule,vetäms; azorkstams
ruler,1. (country) azor 2. (tool) linejka
rumor,kulät??
rump,pukšo
run,čijema
run,čijems
rupture,pačk jutamo; sezema
rural,veleń
rush,kapšamo
rush,kapšams; eräzkalems
rust,čemeń
rusty,čemenev
ruthless,žalostteme; žestokij
rye,roź
sabotage,sabotaž; diversija
sack,keskal; keskav; mešok
sacrifice,žertva; anoks
sacrifice,1. satstoms 2. anoks kandoms
sad,nusmanä
saddle,kambraz (lišmeneń)
sadness,nusmanäči
safe,zïjando vanstoź
safety,zïjando vanstomači
sail,varmamevť
sailboat,varmamevť marto venč
sailor,moräk
saint,svätoj
salad,salat (anokstaź jarsamopeľ)
salary,sivejarmak; zarplata
sale,(price) alkińgavtoź pitnesë mikšnema
salesman,mikšnicä (ćora)
saleswoman,mikšnicä (ava)
saliva,seľge
salmon,losoś; jaksterekal
salt,sal
salty,salov
salute,česteń maksoma
salute,maksoms česť (kineńgak)
salvation,idema
same,teke
sample,sajevks (obrazec)
sanctify,oznovtoms
sanction,sankcija
sanctuary,(animal) idem rakšań vanstoma tarka
sand,čovar; čuvar; pesok
sandal,sandalä
sandwich,buterbrod
sandy,čovarov
sane,vańks prev
sanitation,vańksëks kirdema
sap,(tree) čuvtoveď
sapphire,sapfir
sarcastic,raksicä
sardine,seľodka
satellite,sputnik
satisfaction,sedejojmavks; meľsparo
satisfactory,avoľ beräń; satïška paro
satisfy,savtoms (kineńgak)
sauce,sous
sausage,kalbaz
savage,idem (lomande)
save,1. (money) taštam; vanstoms 2. (person) idems
savings,(money) taštavks
saw,pila
saw,piläms
say,jovtams
saying,jovtamo; merema
scab,veŕkuvo
scald,pidsevks
scald,pidsems laki vedsë
scalp,präkeď
scandal,keľť-valt; spletnät
scar,aržo
scarce,čuro
scare,tandavtoma
scare,tandavtoms
scarf,šarf; galstuk
scatter,počodoms
scenery,(nature) pejzaž
scenic,seľmeń kecävtïcä (živopisnoj) pejzažnosť
scent,čine
sceptical,skeptičeskoj
schedule,??meľcek-meľcek śormadks (spisok)
scholar,tonavtnicä
scholarship,1. sodamoči 2. stipendija
school,škola
schooling,tonavtnema
science,nauka
scientific,naukań
scientist,učonoj; sodïj
scissors,vasońpejeľť
scold,śovnoms (kińgak)
score,(game) očkań lovaža
scorpion,skorpion
scrape,koćkaräms
scratch,koćkerdävks
scratch,koćkerdäms; razdems
scream,rangoma
scream,rangoms veŕgavajgeľť
screen,1. (film) ekran 2. (net) marlä 3. (protection) kekšema 4. (television) ekran
screw,vint
screw,(screw) vintäms
screwdriver,1. otvortka 2. (drink) ??alkogol marto simemapeľ
scribble,śormadoms kapšaź; beränstë; tejems karakulät
script,kedśormadks
scripture,Biblijań sajevks
scrub,šläms; gabzoräms
sculpture,skuľptura (palmań)
sea,ineveď
sea lion,(inevedeń moržado višine rakša)
seafood,inevedstë jarsamopeľť
seagull,1. kalonsalï 2. (tern) tranzej
seal,1. (animal) ťuleń 2. (stamp) pečať
seal,pekstams pečats
seam,stavks
search,vešnema
search,šťupams-kapams; mučkams
search for,vešnems
seashore,ineveďčire
seasick,??inevedeń orma
season,ijeń ška; ...lango
seasonal,ijeń škań
seasoning,specijat; salt-porćkat
seat,ozamo tarka; ozamka
seaweed,ineveď potmaksoń kasovkst
second,(time) sekunda
second,omboce
secondary,omboćks; meľga molicä
secrecy,salavači
secret,śopoź; kekšeź; salavań
secret,salavači; śopoź tev
secretary,sekretaŕ
secretly,salava
sect,sekta; puromks
section,1. (department) sekcija 2. (part) pal; kuska
sector,piräź tarka; sektor
secure,(safe) sëťme (zïjando)
security,(safety) vanstomači
sedate,ojmavtoms
sedation,ojmavtoma
sedative,ojmavtï preparat (sëreďkstë)
sediment,(floor) ojmavks; tortat
seduce,manäms (tejteŕ-ava)
seductive,ćorameleń kepeticä
see,nejems
see off,jakams iľtämo
seed,viďme
seek,vešnems
seem,marävoms
seemly,ladicä
segment,peľks
segregate,javoms (lomanť lijatneń ejstë kiśke ťusoń koräs)
seize,neľgems
seizure,(medical) kurodoma
seldom,čurosto
select,kočkams
selection,kočkamo
self,eś prä
selfish,eś präń večkicä
sell,mijems; mikšnems
seller,mikšnicä
semicircle,??čiŕke
seminar,seminar
send,kučoms
senile,sïrnicä
senior,(older) sïre
seniority,sïreči-pokšči
sensation,jožomarämo
sensational,sensacionnoj; jožomarämoń
sense,1. (feeling) marämo 2. (meaning) smusť
senseless,1. (feeling) jožovtomo 2. (meaning) smustteme
sensibility,??prevssajeviksči
sensible,??prevssajeviks
sensitive,maricä (kedte)
sensitivity,jožomarämo
sensual,??potmojožoń
sentence,1. (law) prigovor (livtevks) 2. (letter) valriśme
sentence,prigovoräms
sentiment,potmojožo
sentimental,jožomaricä; potmojožoń
sentry,vanstïcä
separate,baška
separate,javoms
separation,javoma
sequence,(order) meľcek-meľcek molema
sergeant,seržant
series,serija; riśme
serious,serijoznoj
sermon,tonavtovks; propoveď
serpent,guj; joznë
servant,vardo; važo
serve,služams
service,1. (assistance) lezdamo 2. (church) služba (ceŕkovaso) 3. (hotel) obsluživanija 4. (maintenance) servis
session,promks; sessija
set,1. (collection) purnavks; kollekcija 2. (theater) putovks (teatraso pjesań)
set,putoms
settle,(arrange) kortams (tevenť); sams ve meľs
settlement,1. (agreement) rešenija (jarmakt) 2. ve meľs samo 3. (colony) kolonija 4. (legal) prigovor
settler,erämo sïcä/pioner
seven,sisem
seventeen,kemzisemge
seventh,sisemece
seventy,sizgemeń
sever,sindems; keräms
several,lamo
severe,1. (strict) strogoj 2. (condition) vijev
sew,stams; sustams
sewage,jortovkst; rudazveď
sewer,1. stïcä 2. rudazvedeń turbat
sewing machine,stamo mašina
sex,1. seks 2. sïme (ćorań eli avań)
sexual,seksuaľnoj
shade,ekše
shadow,sulej
shaft,1. (mine) šahta 2. (spear) neď; čuvto 3. (technical) val; oś
shake,1. sornoms 2. sornovtoms 3. tresäms
shall,karmams
shallow,mazä; alkine; adomka
shallow,mazä tarka
shame,viźksčama
shameful,viźks
shameless,viźkstëme
shampoo,šampuń
shape,forma; tus
shapeless,formavtomo
share,akcija; peľks
share,javšems (with marto)
shareholder,akcioner
shark,akula
sharp,pšti
sharpen,čovams
shatter,1. kolavoms; porksevems 2. kolams; porksems; kolavtoms
shave,narams (sakalt-mezť)
she,son (avań sïme)
shear,narams (reve)
shed,lato
sheep,reve
sheet,1. (ice) ejgaža 2. (metal) listovoj 3. (paper) lopa; ark
shelf,lavsä
shell,1. (turtle) panciŕ 2. (bullet) giľza
shelter,präń vanstoma tarka
shelter,maksoms präń vanstoma tarka
shepherd,(reveń)  stadavanï
shield,1. vanstïcä 2. štit
shift,1. (movement) ajgema; šaštoma 2. (work) važodicäń smena 3. pajme
shift,šaštoms
shin,piľgesejeŕks (ikeľjonks)
shine,citnema
shine,citnems
shiny,citnicä
ship,inevenč; pokšvenč
ship,uskoms (venčsë; gruzaviksë)
shipyard,venčeń tejema zavod
shirt,panar
shiver,sornoms; tarnoms (keľmede)
shock,1. (electric) (tokoń) vačkodema 2. (fright) talakadoma
shock,talakavtoms
shocking,talakavtoms
shoe,karsemapeľ; kota
shoelace,kaŕks
shoot,ledems (ružijaso)
shop,lavka
shore,eŕkepire; ineveďčire
short,nuŕkine
shortage,asatoma; asatïks
shot,1. ukol 2. puškań jadra
should,-ma
shoulder,lavtovprä
shout,seŕgedems
shove,tohmadems; tulkadems
shovel,kojme
show,nevtems
shower,1. (bath) duš 2. (rain) kovol (pizeme)
shrimp,1. krevetka (rakšine) 2. pek viškine lomań
shrine,grebnica; sklep; keremet
shrink,ozams (koct muśkemstë)
shut,1. pekstams 2. śomoms; konäms (seľmť)
shy,tandadoź; pelicä
sick,sëredicä
sickness,orma
side,boka
sidewalk,(pavement) trotuar
sideways,bokajondo; bokajont
sift,suvtnems
sight,(eye) seľmepe
sign,tešks
sign,putoms keď(tešks); śormadstoms
signal,signal
signature,kedtešks
significance,smusť
significant,važnoj; eräviks
silence,1. kaštmolema 2. (retension of a secret) čaťmonema
silent,kaštmolicä
silently,kaštmoleź
silk,parsej
silver,sija
similar,langs-langs molicä
similarity,langs-langs molema
simple,šožda (tev)
simplify,šoždalgavtoms
simply,1. šoždasto 2. ansäk istä
simultaneous,ve škań
sin,pežeť; greh
sin,sovams pežets
since,-sto/-stë sajeź
since,sede mejle; koda...
since,sekskak
sincere,paroń arsicä; sedejškava
sincerely,paroń arseź
sincerity,??panžado ojme
sinful,pežetev; grešnoj
sing,morams
singer,morïcä
single,(person) (jalgavtomo) vejkine
sink,(basin) rakovina
sink,1. vajams 2. vajavtoms
sinner,pežets sovicä
sinus,sudovarä
sip,korštams (turvapesë)
sir,sër; azor
siren,sirena
sister,1. (elder) (pokš) patä 2. (younger) sazor
sister-in-law,1. (husband's older brother's wife) sïŕkaj 2. (husband's older sister) patä 3. (husband's younger brother's wife) mirdeń jalaksoń ni 4. (husband's younger sister) parïja 5. (wife's older brother's wife) niń leläń ni 6. (wife's older sister) balduz 7. (wife's younger brother's wife) niń jalaksoń ni 8. (wife's younger sister) balduz
sit,1. ozams 2. ozado aštems
situation,tarka; situacija
six,koto
sixteen,kemgotovo
sixth,kotoce
sixty,kodgemeń
size,pokšolma
skate,(ice) końka
skate,(ice) kiräkstnems końkaso
skeleton,kambraz (rungoń)
skeptical,akemicä
sketch,risunok; artovks
sketch,risovams; artoms
ski,soks
ski,ardtnems soksso; čijems soksso
skilful,kol
skill,kolči; maštomači
skin,1. (animal) keď; kiśke 2. (fur) ponakeď 3. (person) keď
skinny,kośkanä; kośke; beräkške
skip,ťokajems; tŕonkajems
skirt,jubka
skull,prälovaža; präkolgan
skunk,skuns
sky,meneľ
slander,aparo valoń kortamo
slang,sleng
slap,kajams; vačkodems (pilejurga)
slaughter,1. (animal) pečkems 2. (people) maštoms
slave,ure
sled,1. salazke 2. (sleigh) nurdo
sleep,udoma
sleep,udoms
sleeping bag,udoma keskal
sleepy,1. nuvseź; nuvsicä 2. sëťme
sleet,pengeťks; pizeme marto lov
sleeve,oža
slender,vide rungo; jolganä
slice,(kši)pečť
slice,pečkems; kersems
slide,kirakstams; ajgševems
slightly,ansäk-ansäk
slim,čovine; jolganä
sling,1. jortomapiks 2. (sindeź kedeń) kandnemapeľ
slip,(clothing) (avań) potpanar; algapanar
slip,kiräkstoms; nolažtoms
slippers,kudova jakamo kotat; šľopkat
slippery,nolaža
slit,kerävks (jubkaso); tejine lazks
slope,pandočama; čirečama
sloppy,(careless) avoľ akkuratnoj
slow,akapšicä; stambaro
slug,ličinka
slum,truštoba
slush,lovveď; meďma
sly,jožov
small,viškine
smart,(intelligent) prevej
smash,kolams (lapužaks); porksams
smear,vadnems (with mejsë)
smell,1. čine 2. (sense) činemarämo
smell,1. kačadoms; noldams čine 2. maräms čine
smile,mizolks
smile,mizoldoms
smithy,sïrtemakudo
smoke,kačamo
smoke,1. (tobacco) targams 2. kačakavtoms
smooth,valanä; vadäša
smother,1. lepijams 2. lepijavtoms
smuggle,uskoms salava granicań troks
snack,šožda jarsamopeľ
snail,ulitka (kudïne marto)
snake,guj; joznë
sneak,jutams salava
sneeze,kešnams
sniper,lednicä (kekšema tarkasto)
snore,kornoms
snow,lov
snowy,lovov
so,istä
soak,lopadems
soap,sapoń
soccer,futbol
sociable,lamoń marto kortïcä; lomań marto čovarovicä; lomań jutks čovarovicä
social,vejsëń; sociaľnoj
socialism,socializma
socialist,socialist
society,1. vejsëndävks 2. lomańjutko; obštestva
socket,1. (electrical) razetka 2. (eye) seľmevarä
socks,ćulkat-noskat
soda,1. soda 2. limonad (simemapeľ)
sofa,divan
soft,čevte
softly,čevtstë
soil,(kasoma)  moda
soldier,ušman; soldat
sole,(foot) piľgealks
solicitor,(law) advokat
solid,kalgodo; keme
solitary,vejkine
solitude,śkamoči
solution,(chemical) solavks
solve,rešams
some,zärïja
somebody,ta-kije; kijak; kije-buti
somehow,ta-koda; kodajak; koda-buti
something,ta-meze; mezejak; meze-buti
sometimes,kosto-kosto; škań-škań
somewhat,koda-buti
somewhere,kosojak; koso-buti
son,ćora (tetäń-avań)
son-in-law,sodamo; tejtereń mirde
song,moro
soon,kurok
sore,sëredicä
sore,tombavks; kerävks
sorrow,śumordoma
sort,aravtoms sortoń koräs
soul,ojme
sound,šumbra; vide paro
soup,jam
sour,čapamo
sour,čapaśkadoms
source,liśmaprä
south,pelečijonks; lembe mastoroń jonks
southern,pelečijonoń
southwards,pelečijonov
souvenir,ledstämgaks
space,1. (area) tarka 2. (length) tarka; jutko 3. (universe) meneľtombaľks
spacecraft,meneľvenč
spark,sätko
speak,kortams
speaker,1. (object) spiker 2. (person) kortïcä
spear,sälgo
special,baška
specialist,teveń sodï(cä)
speciality,speciaľnosť
specialize,specializirovams
specific,lija jonov a molicä; aravtoź
specimen,nevtevks
spectacular,pek meľs tujicä
speculate,arsems (karmi-a karmi)
speculation,arsema
speech,kortamo
speechless,valtomo
speed,skorosť; kurokči
speed limit,aravtoń skorosť
speedboat,??bojka jaki venč
speedometer,skorosteń onkstnemapeľ
spell,(magic) orožijamo; munämo
spell,(word) śormadoms val tešksëń-tešksëń
spelling,videstë śormadoma
spend,jutavtoms (money jarmak; time ška)
spice,tantejgavtomat
spicy,tantejgavtoź; rastov
spider,šanžav; pondomukoro
spill,valoms (apak učo)
spin,1. (yarn) šterdems 2. (around) čarams
spinach,špinat
spinal cord,koťmere udem
spine,koťmerečiŕke
spiral,spiraľnoj
spirit,(mood) ojme; jožo
spiritual,ojmeń; ceŕkovań
spit,seľgems
spiteful,kežeń pandïcä
splash,purgsems
spleen,čečej; selezeńka; ožoń puzïŕ
splendid,mazïj
splint,šteľks
splinter,(wood) sardo; čev
split,1. lazovoms 2. lazoms
spoil,1. (food) kolems 2. (child) koľnevtems
sponge,veďpango
sponsor,(business) sponsor
spontaneous,spontannoj; apak arseń
spoon,penč
sporadic,škań-škań
sport,sport
sportsman,sportsmen
sportsmanship,sportsmenksči
sportswoman,sporsmenka
sporty,nevtemań
spot,petnävks; petnä
spotless,vańks
spotty,petnävks marto
spouse,1. pola; vasta 2. (wife) ni 3. (husband) mirde
sprain,sanoń uskovoma
sprain,uskovoms (sannëń)
spray,purgsems
spread,1. sradoms 2. sravtoms
spring,1. (metal) pružina 2. (season) tundo 3. (water) liśmaprä
sprinkle,počodoms
spy,špion
spy,vanstoms (kiń meľga)
spying,vanstoma špionaž
squadron,eskadron
square,1. (place) oškužo 2. (shape) nileužoks
squeak,(mouse) čikordoms; cijnems (čejeŕ)
squeeze,lepštäms
squid,kaľmar
squirrel,ur
stab,lazoms; pačk pelems
stability,ustojčivosť; stabiľnosť
stabilize,aravtoms lads
stable,lišmeń kardo
stack,vačkavks
stack,vačkams
stadium,stadion
staff,(personnel) važodicäń kuro; (ve tarkań) važodicät
stage,(platform) platforma; scenalango
stagger,uvol-avol jutams
stagnant,pužoź; ašticä
stain,kargoćks; petnävks
stairs,kuztemat (jalgo)
stall,(animal) kalda
stallion,ajgor
stamina,kemeči; cidärdoma
stamp,1. (postage) marka 2. (seal) pečať
stamp,(seal) putoms pečať (meze langskak)
stand,(person) aštems städo
standard,standartoń koräs
standard,standart; vejkeťkstamo luv
standardize,vejkeťkstams
star,tešte
starboard,(venčsë; joroplanso) viť jonks
starch,krahmal; modamaŕ počt
stare,vanoms teťkeń seľmť
starfish,inevedeń tešte
start,ušodoma
start,1. (begin) ušodoms; karmams 2. (motor) noldams (motor)
startle,tandavtoms
starvation,vačodo kuloma
starve,1. vačomoms 2. kuloms vačodo
state,1. (condition) jožomarämo 2. (land) štat; mastor
state,merems; jovtams
statement,jovtamo
station,1. (place) tarka 2. (train) vokzal
stationary,asïrgavtoviks; ve tarkaso aštïcä
stationery,śormapeľ (końovt; konvertt
statistics,statistika
statue,palmań; meľsledstämka
status,tarka vejsëndävksso
stay,??ulema tarka
stay,kadovoms
steam,par (leťkstamo)
steamy,letkstaź; kovštaź
steel,stal
steep,kruta; avandora
steer,vetäms
steering,(car) ruleń vetämo
steering wheel,ruľ
stem,(flower) kalgo; sejeŕks
step,eskeľks
step,eskeľdems
step-father,od tetä
step-mother,od ava
stereo,stereo
sterile,(clean) vańks
sterilize,(clean) vanśkavtoms; panems avańksčitneń
stern,venčudalks
steward,1. meľga jakicä 2. (joroplanso lomań) meľga jakicä
stewardess,joroplanso (lomań) meľga jakicä
stick,palka
sticker,1. (thistle) pupigaj 2. (stick-on) klejka
sticky,pedicä; pedävicä
stiff,kalgodo; amendävicä
still,1. sëťme 2. alïkicä
stimulate,eräzïjavtoms
stimulation,eräzïjavtoma
sting,(bee) pupams (promo)
stink,(aparo) čine
stink,noldnems čine
stir,1. jozmoldoms 2. čovoräms
stirrup,(horse) stremä
stock,1. (finance) (kapital) akcijat 2. (supply) tovar
stock,lezdams; jorams (tovarso)
stock market,fondovoj birža
stockings,ćulkat
stomach,peke; tutmo; pekekeď
stone,keveń
stone,kev
stop,1. lotkamo 2. lotkavtoma
stop,1. lotkams 2. lotkavtoms
stopper,(water) pekstamka; potomdomka
storage,vanstoma tarka; taštamo tarka
store,1. taštavks; vanstovks 2. mikšnema kudo
storeroom,vanstoma kudo; vanstoma tarka
storm,davol
stormy,davolov-varmav
story,1. (floor) etaž; kirda 2. (tale) jovtnema
stove,kaštomo
straight,1. vide; avoľ čiŕ 2. adv. vidstë
straighten,tejems videks
strain,1. teťkevema 2. raśke
strait,proliv; veďkiŕga
strange,lomań; apak tonadoń
stranger,lomalomań
strangle,povams
strategic,strategijań koräs
strategy,strategija
straw,1. (drink) olgo (simems) 2. (grass) olgo
strawberry,1. mastumaŕ 2. kstïj
stream,(river) lejne; čudikeŕks
street,uľcä
streetcar,tramvaj
strength,1. vij 2. narde 3. moce
strengthen,vijevgavtoms
strenuous,nardevčiń vešicä
stress,stress
stretch,teťkems
stretcher,(tombazeń) kandomat
strict,strogoj; luvsto apotïcä
strike,(company) zabastovka
strike,(hit) vačkodems
string,pikske; sure
stripe,polosa; kikske
strive,putoms vij; bažams
strong,vijev
structure,luvt-ladt; putovt
struggle,borocämo
stubborn,nazoj; a kunsolïcä bukakonä
student,tonavtnicä; student
study,tonavtnems
stuff,1. material 2. tevť
stuff,peštems (tïc); ecems
stuffing,(food) sïvť (präka topo)
stumble,pupordems
stump,1. (limb) kerämo (lomaneń rungsto) 2. (tree) kando; mukoŕ
stupid,prevteme; čavola
stupidity,prevtemeči
stutter,koknoms
style,stiľ
subject,1. (school) predmet 2. (topic) tema; kortamopeľ
subject,sajems keď-alov
subjective,(thought) subjektivnoj
submarine,veď alga ujni venč; čopavtni venč
submerge,1. čopavtnems 2. vajavtoms; čopavtnems
submission,(obedience) präń maksoma; kunsoloma
submissive,sëťme; meleń vanïcä
submit,(obey) maksoms prä; karmams kunsolomo
subpoena,sudämo terdema końov
subscription,śormadstoma (to langs)
subsequent,meľga molicä
subsidiary,filial
subsidize,lezdams jarmakso
subsidy,jarmakso lezks
substance,materija
substitute,polavtoms
subtitle,titra; alga śormadovks
subtract,sajems
subtraction,sajema
suburb,ošpe
subway,1. metro 2. (ki)alga jutamo
succeed,1. tevtneneń parste lisems 2. molems kije meľgajak
success,teveń parste molema
successful,udačnoj
successive,meľga molicä
successor,naslednik
such,istämo
suck,potäms
suction,potämo
sudden,apak učoń
suddenly,apak učo
sue,sudäms
suffer,pištems
sufficient,satïcä; satïška
suffocate,1. lepijams 2. lepijavtoms
suffocation,povavoma; lepijamo
sugar,sahor
suggestion,ušodks; arsema (koda meze tejems)
suicide,präń maštoma
suit,(clothes) ćorań kosťum
suitable,maštoviks; ladicä
suitcase,a pokš čumadan
sum,summa
summarize,tejems livtevkst; tejems konspekt
summary,konspekt
summer,kizë
summit,ťokš; pandoprä
summon,(law) terdems (suds)
summons,terdema (suds)
sun,či; čipaj
sunbathing,čipaj alo präń kalävtoma
sunburn,čipaj alo pijema
sunny,čipajev
sunrise,čiń lisema
sunset,čiń valgoma
sunshine,čivaldo
sunstroke,berälgadoms (čide)
super,1. (excellent) pek paro 2. (large) pokš
superficial,avoľ stojka; langaprävań
superficially,langa-präva; lunga-langa
superior,(better) cede paro
superiority,lijado pokšoks ulema
supermarket,jarsamopeleń pokš lavka
superstition,tamašań tevs kemema
superstitious,tamašań tevs kemicä
supervise,vetäms; vanoms (kiń meľga)
supervision,vanstoma
supervisor,vanstïcä
supper,čokšnëń jarsamo
supplement,poladks
supplier,tovaroń maksïcä
supply,taštavkst; joravkst
supply,jorams
support,(object) neže
support,(person) träms; andoms-oršams
suppose,??noldams; arsems
supposedly,kelä; meriť
suppress,lepštäms
supremacy,lija langso azorkstamo
supreme,prävtoń; verce
surcharge,lišnoj pandovks
sure,keme
surface,lango; čama
surgeon,hirurg
surgery,hirurgija
surgical,hirurgijań
surname,bujlem; familija
surpass,tejems lijado lamo
surplus,lijadks
surprise,divamo; supriz
surprise,divavtoms
surprising,divavtïcä; ťungoľks
surrender,präń maksoma
surrender,maksoms prä (to kineń)
surround,kružams; sajems kirkss; kirdems kirkssë
surroundings,perťpeľks
surveillance,vanstoma
survey,1. (information) vannoma 2. (land) modań onkstamo
survey,1. (land) onkstams moda 2. (question ) kevkstems lomantneń melest
survival,?? erämo
survive,1. eräms kiń koräskak kuvať 2. zïjanso a kuloms
survivor,apak kulo lijadïcä
suspect,čumondoviks
suspect,čumondoviks lomań
suspect,lovoms čumondoviks; čumondoms
suspend,1. (hang) pongavtoms 2. (work) lotkavtoms
suspense,asodamoči; talnoma
suspension,1. (hang) pongavtoma 2. (work) lotkavtoma
suspension bridge,pongavtoń sëď
suspicion,čumondoma
suspicious,čumondïcä
sustain,(law) aštems eseť val langso
swamp,bolota; čejadavks; sar
swarm,livti mekšvele; roj
swear,1. (curse) krojams 2. (promise) pežeťkstams
sweat,liveź
sweat,liveźkadoms
sweater,svitra; džemper
sweep,tenstäms
sweet,lambamo
sweetness,lambamo(či)
swell,pek paro
swell,targozems
swelling,targoźks
swim,ukšnoms; ekšeläms; ujems
swing,nursemat
swing,nursems
switch,1. (change) polavtoma 2. (device) (svetëń) toloń madstemka
switch,(change) polavtoms
swollen,puvaź; targozeź
sword,tor
symbol,simvol
symbolic,simvoličeskoj
sympathetic,jožomaräź
sympathize,jožo maräms
sympathy,jožomarämo
symptom,simptom
synagogue,sinagoga
syndrome,sindrom
synonym,sinonim
synthetic,sintetikań
syringe,špric
syrup,lambavtoź veď
system,sistema
systematic,sistemań koräs
Saturday,subuta
September,taštomakov; vejksëce kov
Sunday,targoči; nedläči
table,stuvor; morgo
tablet,tabletka
tack,(surso ??lepštävicä) eske
tact,taktičnosť
tactful,taktičnoj
tactical,taktikań
tactics,taktika
tactless,taktikavtomo
tail,pulo
tailor,šiveč; sustïcä
take,1. (accept) sajems; primams 2. (capture) sajems 3. (carry) vijems; kandoms 4. (consume) simems (ormameńks) 5. (exam) kirdems 6. (obtain) idems (doktor)
tale,jovtnema
talent,talant; talan; jorok
talk,kortamo
talk,kortams
tall,sërej
tame,tonavtoź
tame,tonavtoms
tan,tejems (keď)
tank,1. (container) bak 2. (military) tank
tanker,(ship) tanker
